index,PMAIZMTUSDM,PBEEFUSDM,PPORKUSDM,PLAMBUSDM,PPOULTUSDM,POILBREUSDM,fao_food_index,bioethanol_production,retail_china,fnbretail_USA,D0_USA,D1_USA,D2_USA,D3_USA,D4_USA,cdd_BR,precip_BR,enso_anomaly
2002-12-01,-0.015151805020600762,0.029447201326300743,43.672,0.019017639539677944,-0.0067447225616747986,28.3172727272727,-0.010657294473987555,0.05849620668160771,0.10850869632809435,0.014019092676516465,11.42,9.53,12.85,10.44,0.84,5.91,218.97,1.31
2003-01-01,-0.010978305793802434,0.01594365039713619,46.5835,0.029655517888095062,0.01236435431632188,30.8086956521739,0.0035650661644961446,0.005665737535677451,-0.043824992443525446,-0.006471331287205118,14.97,10.42,8.95,15.26,2.0,4.71,219.03,0.7
2003-02-01,0.0028004204190352766,-0.01892427853527412,48.1642105263158,-0.018523626671789195,0.012909560632976103,32.6625,0.012378584232639156,-0.046251017650755344,-0.05804970580425106,-0.0036010915669937305,14.75,10.33,10.24,14.99,1.73,4.51,207.76,0.74
2003-03-01,-0.009553600518040994,0.001491424586670398,48.8385,-0.04220150991173188,0.012273545827236276,30.1680952380952,-0.017730960971231724,0.034887259000440984,-0.056374732663531546,0.016284864044012082,17.11,11.86,11.82,12.34,0.46,3.88,236.61,0.45
2003-04-01,0.00195956239776951,-0.015015297119995274,49.2071428571429,-0.026875415528986757,-0.004763599543022856,25.035,0.0,0.022599831917240465,-0.030641358805443275,0.002423629756240331,21.05,13.13,12.53,9.09,0.2,6.7,188.09,-0.05
2003-05-01,0.024089076895058348,-0.04107416953104792,58.9933333333334,0.0520724736296998,0.014735302270213246,25.7145454545455,0.014209830572653459,-0.022599831917240465,0.00039593880434729556,0.019641092888999623,16.32,13.87,11.82,7.8,0.56,10.27,137.86,-0.52
2003-06-01,-0.008198912043001272,-0.013329299220539603,64.8055,0.05525547798976227,0.021417579314397805,27.5666666666667,-0.005305052229693352,0.03371105734231161,0.05377846934635855,0.0039952675697971785,20.58,7.31,9.31,8.28,0.68,14.68,91.11,-0.21
2003-07-01,-0.09146402121684272,0.034540325252176096,60.8995238095238,-0.08500876282265502,0.022673103115324444,28.5039130434783,0.01233495815795127,-0.016713480973741035,-0.0036508147496974175,0.006471603903522194,8.2,15.79,11.85,10.52,1.34,20.08,51.53,0.24
2003-08-01,0.027058614358082878,0.11778303565638293,56.6876190476191,0.03233392757447984,0.016545293214693224,29.7180952380952,0.012184659016367227,0.01117330059812538,0.013516246049597669,0.01586009872647942,0.0,0.0,0.0,0.0,0.0,19.41,62.79,0.2
2003-09-01,0.02838154015698713,0.06247878817456076,56.6514285714286,0.06007415020072582,0.010086390807336088,27.0440909090909,0.02054866822738788,0.054067221270275745,0.09364449848159673,-0.009395274435494372,8.96,13.26,13.33,11.92,1.41,12.54,77.51,0.19
